id,company_name,country,contact_name,email,ltv,status
BYR-0073,Buyer 0073,India,Contact 0073,buyer0073@example.com,$0,Active
BYR-0074,Buyer 0074,UAE,Contact 0074,buyer0074@example.com,$0,Active
BYR-0075,Buyer 0075,United States,Contact 0075,buyer0075@example.com,$0,Active
BYR-0076,Buyer 0076,United States,Contact 0076,buyer0076@example.com,$0,Active
BYR-0077,Buyer 0077,Netherlands,Contact 0077,buyer0077@example.com,$0,Active
BYR-0078,Buyer 0078,India,Contact 0078,buyer0078@example.com,$0,Active
BYR-0079,Buyer 0079,Netherlands,Contact 0079,buyer0079@example.com,$0,Active
BYR-0080,Buyer 0080,India,Contact 0080,buyer0080@example.com,$0,Active
BYR-0081,Buyer 0081,UAE,Contact 0081,buyer0081@example.com,$0,Active
BYR-0082,Buyer 0082,India,Contact 0082,buyer0082@example.com,$0,Active
BYR-0083,Buyer 0083,India,Contact 0083,buyer0083@example.com,$0,Active
BYR-0084,Buyer 0084,UAE,Contact 0084,buyer0084@example.com,$0,Active
BYR-0085,Buyer 0085,United States,Contact 0085,buyer0085@example.com,$0,Active
BYR-0086,Buyer 0086,UAE,Contact 0086,buyer0086@example.com,$0,Active
BYR-0087,Buyer 0087,India,Contact 0087,buyer0087@example.com,$0,Active
BYR-0088,Buyer 0088,UAE,Contact 0088,buyer0088@example.com,$0,Active
BYR-0089,Buyer 0089,India,Contact 0089,buyer0089@example.com,$0,Active
BYR-0090,Buyer 0090,United States,Contact 0090,buyer0090@example.com,$0,Active
BYR-0091,Buyer 0091,United States,Contact 0091,buyer0091@example.com,$0,Active
BYR-0092,Buyer 0092,India,Contact 0092,buyer0092@example.com,$0,Active
BYR-0093,Buyer 0093,United States,Contact 0093,buyer0093@example.com,$0,Active
BYR-0094,Buyer 0094,UAE,Contact 0094,buyer0094@example.com,$0,Active
BYR-0095,Buyer 0095,United States,Contact 0095,buyer0095@example.com,$0,Active
BYR-0096,Buyer 0096,Netherlands,Contact 0096,buyer0096@example.com,$0,Active
BYR-0097,Buyer 0097,United States,Contact 0097,buyer0097@example.com,$0,Active
BYR-0098,Buyer 0098,Netherlands,Contact 0098,buyer0098@example.com,$0,Active
BYR-0099,Buyer 0099,UAE,Contact 0099,buyer0099@example.com,$0,Active
BYR-0100,Buyer 0100,United States,Contact 0100,buyer0100@example.com,$0,Active
